115|1|90g
115|109|5g
115|75|5g
116|1|85g
116|45|3g
116|44|2g
117|1|90g
117|61|3g
117|44|3g
118|1|105g
118|116|15g
118|105|5g
119|1|80g
119|75|10g
119|71|5g
119|101|2g
120|1|90g
120|75|10g
120|101|3g
120|44|1g
121|1|80g
121|117|10g
121|47|3g
122|1|90g
122|117|10g
122|61|3g
123|1|70g
123|62|10g
123|75|10g
124|1|100g
124|75|10g
124|101|3g
125|1|90g
125|85|20g
125|84|15g
125|83|10g
125|44|10g
125|34|5g
125|92|5g
125|9|1g
126|1|80g
126|119|25g
126|114|15g
126|82|10g
126|92|10g
126|57|8g
126|95|7g
126|32|1g
127|1|90g
127|108|10g
127|45|10g
128|1|85g
128|44|10g
128|117|5g
129|1|80g
129|62|8g
130|1|80g
130|115|10g
131|1|90g
131|120|20g
132|1|80g
132|75|20g
132|76|5g
132|101|5g
132|61|5g
132|67|5g
133|1|80g
133|104|15g
133|75|10g
134|1|80g
134|75|10g
134|67|8g
135|1|90g
135|106|15g
136|1|100g
136|61|10g
137|1|70g
137|75|10g
137|61|5g
137|67|5g
138|1|90g
138|118|10g
139|1|150g
139|121|15g
139|68|20g
140|74|30g
140|10|180g
140|41|10g
140|20|0.5g
141|122|40g
141|10|170g
142|10|160g
142|74|20g
142|123|5g
142|41|10g
142|17|20g
142|7|5g
142|23|2g
142|15|1g
142|19|1g
142|26|1g
143|10|160g
143|74|20g
143|124|10g
143|123|5g
143|41|10g
143|17|20g
143|7|5g
143|23|2g
143|15|1g
143|19|1g
143|26|1g
144|10|160g
144|17|50g
144|125|20g
144|7|5g
144|51|10g
144|23|5g
144|15|1g
144|19|1g
144|26|1g
144|14|1g
145|10|140g
145|13|40g
145|126|20g
145|127|5g
146|10|190g
146|128|50g
147|10|210g
147|18|70g
147|7|5g
147|4|1g
147|19|0.3g
147|26|0.4g
147|15|0.3g
147|14|0.5g
148|10|190g
148|129|10g
148|130|10g
148|131|10g
148|132|10g
148|41|20g
148|26|0.3g
148|20|0.2g
149|10|57.7g
149|75|19.2g
149|74|28.8g
149|20|1g
150|10|91.2g
150|75|30.7g
150|74|46.1g
150|20|1.6g
151|10|111.6g
151|74|101.4g
152|10|114.5g
152|17|71.7g
152|7|14.4g
152|51|19.2g
152|23|7.2g
152|15|1.4g
152|19|1.4g
152|26|1.4g
152|14|1.4g
153|133|30g
153|10|200g
153|134|20g
153|29|15g
153|34|12g
153|20|1.1g
153|135|1g
153|26|2g
153|97|15g
154|75|40g
154|90|31g
154|58|4g
154|136|3g
154|57|10g
154|137|2g
154|99|7g
154|20|0.3g
154|26|2g
154|138|0g
155|39|40g
155|1|50g
155|75|20g
155|137|3g
155|57|20g
155|92|8g
155|58|5g
155|101|10g
155|23|5g
155|21|3g
155|7|7g
155|15|1g
155|14|1g
155|26|3g
155|88|90g
156|84|20g
156|75|40g
156|120|10g
156|61|10g
156|88|80g
156|57|15g
156|92|5g
156|58|5g
156|139|3g
156|101|8g
156|20|1.2g
157|1|30g
157|75|40g
157|140|30g
157|141|30g
157|58|5g
157|92|5g
157|137|2g
157|20|2.4g
157|142|3g
157|6|1g
157|88|100g
157|15|3g
157|28|3g
157|143|4g
157|7|4g
157|144|3g
157|14|2g
